City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,ribeira grande,76,PT,1542006157,97,38.52,-28.7,66.52,13.94
1,chuy,88,UY,1542006165,96,-33.69,-53.46,68.82,15.39
2,calatayud,24,ES,1542004200,100,41.35,-1.64,57.2,5.82
3,eregli,64,TR,1542006165,89,37.51,34.05,41.32,3.6
4,tuatapere,64,NZ,1542006166,87,-46.13,167.69,55.41,8.9
5,hervey bay,0,AU,1542006166,85,-25.3,152.85,75.34,17.18
6,athabasca,12,CA,1542006198,57,54.72,-113.29,1.59,5.61
7,jalu,68,LY,1542006167,42,29.03,21.55,67.69,11.81
8,rikitea,12,PF,1542006081,100,-23.12,-134.97,71.74,9.53
9,saint george,40,GR,1542003600,81,39.45,22.34,50.0,8.05
10,mar del plata,0,AR,1542006168,78,-46.43,-67.52,54.37,7.63
11,luderitz,24,NA,1542002400,93,-26.65,15.16,57.2,4.7
12,norman wells,75,CA,1542002400,92,65.28,-126.83,8.6,6.06
13,puerto ayora,20,EC,1542006154,100,-0.74,-90.35,71.16,13.15
14,esperance,20,TT,1542002400,94,10.24,-61.45,77.0,5.32
15,albany,75,US,1542005640,72,42.65,-73.75,30.92,3.36
16,fort nelson,75,CA,1542002400,85,58.81,-122.69,21.2,4.7
17,krasnoturansk,0,RU,1542002400,60,54.32,91.57,6.8,8.95
18,victoria,75,BN,1542004200,74,5.28,115.24,87.8,6.93
19,busselton,36,AU,1542006020,90,-33.64,115.35,67.42,13.78
20,la tuque,0,CA,1542006148,76,47.44,-72.79,11.17,4.05
21,adlay,92,PH,1542006172,100,9.41,125.9,78.99,8.9
22,barrow,92,AR,1542006173,97,-38.31,-60.23,59.59,16.58
23,yellowknife,90,CA,1542002400,85,62.45,-114.38,10.4,5.82
24,raudeberg,75,NO,1542003600,87,61.99,5.14,48.2,10.29
25,airai,32,TL,1542006174,53,-8.93,125.41,84.21,1.03
26,puerto quijarro,12,BO,1542006174,75,-19.0,-57.72,80.56,4.83
27,tadine,20,NC,1542006175,94,-21.55,167.88,76.51,18.63
28,mataura,92,NZ,1542006176,83,-46.19,168.86,53.92,7.56
29,kikwit,92,CD,1542006176,100,-5.04,18.82,71.2,4.27
30,chokurdakh,0,RU,1542006214,32,70.62,147.9,-21.82,2.98
31,narsaq,92,GL,1542001800,35,60.91,-46.05,42.8,19.46
32,nemuro,40,JP,1542002400,61,43.32,145.57,48.2,4.7
